name,party,person_id,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21,vote_22,vote_23,vote_24,vote_25,vote_26,vote_27,vote_28,vote_29,vote_30,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30
"Nikolaj Voinov","Lietuvos centro partija",1417,2,4,1,3,1,2,4,3,1,3,1,2,1,4,2,3,2,3,4,4,1,3,2,3,1,2,3,2,1,2,"Minimalios algos didinimas, proto ribose, negali pabloginti verslo sąlygas Lietuvoje.","Valstybė privalo racionaliau ir efektyviau naudoti gaunamus mokesčius ir tuo pagrindu plėsti socialinę paramą ir paslaugas, ypač pensinio amžiaus žmonėms. Pažaboti klestinčią korupciją.","Įdiegusi vieno langelio principą, valstybė gali teikti kokybiškas paslaugas ir drastiškai sumažinti viešojo sektoriaus darbuotojų skaičių.","""Diržų veržimosi"" politika valstybėje jau yra vykdoma eilę metų, tačiau tai daroma tik paprastų žmonių sąskaita. Būtina naudoti tarptautinių institucijų finansavimą, tačiau tas naudojimas turi būti pasvertas ir racionalus.","Yra daug kitų būdų nemažinti biudžeto įplaukų.","Tik paliekant sau galimybę reguliuoti klausimus socialinėje sferoje ginant darbuotojų santykius su darbdaviais.","Mano giliu įsitikinimu, Seimo nariai turėtų priimti visas Prezidentės vietuotas nuostatas naujajame DK.","Vyriausybei daugiau turi rūpieti vidiniai socialiniai klausimai.","Dėl tyčinių nusikaltimų.","Reikia didžiuotis savo tautybe, tačiau Lietuvoje išduodamuose asmens dokumentuose turi būti naudojama valstybinė kalba.",,"Tik ne iš kaimyninių valstybių.",,,"Jeigu tai nepažeidžia kitų asmenų interesų.",,"Tai yra mūsų istorijos dalis, o istoriją reikia priimti tokią kokia ji yra.","Būtina pasitelkti ES struktūras ir maksimaliai nuodugniai patikrinti Astravo atominę elektrinę dėl jos atitikimo europietiško saugumo reikalavimams.",,,,"Nereikia bijoti nei Rusijos, nei Baltarusijos. Būtina daugiau lėšų skirti išorinių sienų apsaugai bei saugumo užtikrinimui valstybės viduje.",,"Siekiant geresnių santykių su Rusija būtina plėsti ekonominį bendradarbiavimą ir gauti sau naudos, o Gegužės 9-osios minėjimas yra vidinis Maskvos reikalas.",,"Būtina šiuo klausimu surengti referendumą.",,"Reikia branginti ir gerbti savo suverenitetą.",,"Įdiegus naujas technologijas, neskaidrių rinkimų rizika būtų beveik nulinė."
"Raimonda Baltrukėnė","Lietuvos centro partija",1348,1,2,1,1,1,4,4,1,1,4,1,3,4,4,3,4,4,3,4,2,2,3,2,3,1,1,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raimondas Tamošauskas","Lietuvos centro partija",1362,1,1,3,4,3,4,4,2,3,2,1,2,2,4,3,2,2,3,2,1,3,2,3,3,3,2,2,3,1,4,"Verslas, kuris gyvena tik iš minimalios algos neturi teisės egzistuoti.","Mokesčiai turi būti didinami tiems, kas turi daug pajamų. Minimalios pajamos negali būti apmokestinamos. Mokesčių sistema turi būti orientuota į šeimą, o ne asmenį.","Pirma turi būti apsispręsta dėl viešųjų paslaugų poreikio ir apimties. Tada galima kalbėti apie mažinimą ar didinimą.","Visos šalys krizės metu skolinasi, kad skatintų ekonomikas. Ir tai veikia.","PVM reikia mažinti viskam. Šiandien visi mokesčių sumažinimai tik didina verslininkų pelnus.","Yra monopolinių, bei gyvybiškai būtinų sferų be kurių reguliavimo neapsieisime.","Tai galima tik tuo atveju, jei būtų užtikrintas darbuotojų saugumas netekus darbo. Nedarbo draudimo išmoka turėtų siekti ne mažiau kaip 70 proc. ir mokama 2 metus.",,"Svarbu ne bausmės dydis, bet jos neišvengiamumas.","Gali ne pagrindiniuose dokumento lapuose. Lietuva globalėja ir vis daugiau turėsime piliečių su nelietuviškomis pavardėmis.",,"Lietuva jiems yra tik tranzitinė šalis norint pasiekti turtingesnes šalis.",,"Šiandien valdžia paniškai bijo pilietinių protestų. tampa panašūs į policinę valstybę.","Šiandien nėra nei moralinio nei finansinio ar juridinio pagrindo diskutuoti apie tai. Turtinius santykius galima įteisinti ir notariškai.",,"Tai mūsų istorija, nors ir ne pati geriausia. Reikia pagalvoti apie jų išsaugojimą ateis kartoms. Gal perduoti į kokį genocido muziejų.","Kai klausimai liečia Vilnių tai padaroma visos Lietuvos problemą. O kad Klaipėdoje yra trys ne mažiau pavojingi objektai nieko nejaudina nes ""to reikia Lietuvos saugumui užtikrinti"".",,,,,,,,"Reikėtų rinktis panašų variantą kaip Lenkijoje. Į vesti lietuvio kortą. Visos teisės kaip piliečiams, tik be balsavimo teisės. Negyvenantys Lietuvoje piliečiai neturėtų spręsti kaip tvarkytis šalyje.",,,"LR Konstitucija nenumato partinių sąrašų, bet numato vienodas teises visiems piliečiams dalyvauti rinkimuose.","Internetinis balsavimas negali užtikrinti skaidrumo. Jo taip pat negalima patikrinti."
"Romas Pavolas","Lietuvos centro partija",1381,3,3,3,3,2,4,4,4,2,2,1,1,1,4,2,0,4,1,4,1,4,1,3,4,4,1,1,1,1,1,"Pirmiausia būtina sutvarkyti įstatymus sąlygojančius gyventojų perkamosios galios didėjimą","Mokesčius būtina diferencijuoti: kaime mažesni, mieste didesni. Diferencijuotas ir antkainių ir viršpelnių apmokestinimas","Nieko nedaroma kaip kirviu nukirtus. Viskas priklauso nuo realybės.","Veržtis diržus visų pirma turi tie kurių pilvai dideli. O ne tie kurie prie bado slenksčio","Pagrindiniams produktams taip. Prabangos produktams ne.","Valstybė privalo reguliuoti kiek įmanoma. M.Keinso teorija (galiojusi praktikoje JAV 1932 -80)","Tai išlaisvins tik savivalę","Tai turi daryti valstybės milžinės. Lietuva nieko nelemia.","bausmės gana griežtos tik kad teisingumo išvengiama dėl korupcijos.","Tik labia ribotas skaičius raidžių kitaip prarandame savo identitetą",,,,,,,"Ir taip ilgai stovėjo","tai mūsų išlikimo klausimas","Turi būti draudžiama","Tai solidarumo su agresijos auka veiksmas","Statybos vyko tik siekiant išnaudoti Lietuvos žmones Rusijos imperijos labui.","Reikia siekti 10 procentų (kaip Izraelio) biudžeto skirti gynybai.","Tuščias reikalas. teprasmenga ta Rusija skradžiai.",,"paruošta turi būti visa tauta.",,,,,
"Svetlana Jurgelaitienė","Lietuvos centro partija",1340,4,4,3,2,2,3,3,2,1,2,4,2,1,4,4,3,1,3,1,4,2,3,4,3,3,4,2,1,1,1,"Tai iš tikrųjų sužlugdys mažas įmones, manau turėtų būti tvarkoma mokestinė sistema.","Didinami mokesčiai tik didina šešėlinę ekonomiką","Darbuotojų skaičius sutinku, kad turi būti mažinamas, tačiau tai neturi kenkti valstybės teikiamoms paslaugoms.","Mano nuomone skolinimasis tik gilina krize, manau skolintis reikėtų jei tai tikrai neišvengiama.","Manau, kad sumažinus PVM daugelis mažų įmonių neslėps pajamų, jiems tiesiog tai neapsimokės.","Valstybė turi kažkiek įtakoti šalies ekonomikai.","Manau, kad toks darbuotojo atleidimas be priežasties turėtų būti su tam tikromis išmokomis darbuotojui.",,,"Tik kaip papildomas užrašas","Specializuotos valstybinės parduotuvės ir kiti panašūs draudimai skatins ""bobučių"" veiklą",,,,,,,,"Bet koks griežtas draudimas iššaukia pasipriešinimą.",,,"Mano nuomone nereikia didinti finansavimo kariuomenei.",,,,,,,,
"Tadeuš Polito","Lietuvos centro partija",1368,2,4,1,4,1,4,4,4,1,1,4,1,3,4,4,2,1,2,2,2,3,2,2,4,1,1,1,1,1,2,"Bet tai reikia daryti kartu su kitomis priemonėmis, kurie stiprintų ekonominę situaciją, pvz.: investicijos, naujų įmonių įkūrimas, finansinė parama mažoms ir vidutinėms įmonėms,mokesčių mažinimas ir lengvatos ir svarbiausia. Finansinė drausmė ir skaidrumas neleidžia vagystės ir pinigų švaistymo.","Valstybė visų pirma tai žmonės, o ne parazitai, turintis valdžią. Pareigūnai negalės vogti. Pinigų užteks visiems ir visam.","Mažiau popierizmo ir kyšininkavimo padidins teikiamų paslaugų kokybę ir leis sumažinti biurokratiją 10 kartų.Viskas turi būti aiškiai ir skaidriai, centralizuota ir kompiuterizuota.","Ne reikia vogti gudrias būdais, ir nebus jokių poreikių susiveržti diržus, ar skolintis pernelyg dideliems palukanoms.","Panaikinsime korupcija - sumažinsime PVM!","Nera tikros valstybės be ekonomikos reguliavimo. Ekonomika - kiekvienos valstybės širdis.","Iki skurdo ir vergijos ir taip liko labai mažai.","Lietuvoje kol kas nėra tokios problemos dėl pramonės. Visi verslininkai ir žmonės turėtų laikytis tam tikrų normų ir taisyklų, nepažeidžiant biudžeto.","Tačiau be nužudymu. Geriausias auklėjimo būdas tai darbas visuomenės labui.","Reikia sukurti galimybę pridėti puslapius į savo  pasą pagal piliečio pageidavimo (norima kalba).","O kaip kaime? Sukurti naujos parduotuvės arba siųsti pas senutės isigiti kartais mirtinai pavojinga mikstūrą?","Žmogus turi gyventi savo kultūroje. Pasaulio bendruomenė privalo sukurti tam tinkamas salygas.","Turėtų būti aiškiai apibrėžtos taisyklės ir pagrindai.","Atvirumas ir galimybę pasiekti aiškų referendumą galės apsaugoja Lietuvą nuo netvarkos ir nusižengimo nuo įstatymų.","Visų pirmą, tai yra liga. 
Antrą, tai prieštarauja kultūrinio ir religinio būdo Lietuvos piliečių.
Trečią, tai prieštarauja vaikų pastojimui ir gimimui, ir tai daro žalą demografijai.","Yra daug aspektų, ir daugelis socialinio darbo.","Tai Lietuvos žmonių istorija. Istorija nepasirinksi retrospektyviai.Istorija svarbiau dabartinių politinių ambicijų.","Bet jau per velu.","Turi būti nustatyta simbolikos sritis. Jei tai yra istorinis aspektas, taip, jei politinis, tai ne. Galų gale valstybės, kuriai priklauso simbolika, jau nebera.","Nėra pasirinkimo.","Statyta buvo ir už Tarybų Sąjungos ribų. Žmonės kartu gyvena, Žmonės kartu stato.","Nėra pasirinkimo. Lietuva maža valstybė. Geriausiai būtų paskelbti karinį neutralumą.",,,"Šiandien kariuomenė - aukštųjų technologijų kariuomenė.Tai profesionalams. Laikai ""armatnies mėsos"" praėjo.","Be abejo","Prarasti valstybinį reguliavimą ekonomikos, pavyzdžiui, eksporto galimybė.",,,"Su teise pasirinkti slaptas arba atviras.Internetinis balsavimas turi turėti stiprą apsaugą. Skaidri balsavimo stebėsena realiu laiku."
"Valerijus Šabrauskas","Lietuvos centro partija",1369,1,4,1,4,1,1,4,0,1,4,1,1,4,4,4,4,4,4,4,4,1,1,2,4,4,1,1,1,1,1,,,,,,,,,"už korupcinius nusikaltimus",,,,,,,,,,,,,,,,,,,,,
"Vitalijus Baltutis","Lietuvos centro partija",1346,2,4,1,3,1,3,4,2,2,4,2,3,1,4,4,4,2,3,4,2,3,4,1,4,2,3,1,1,2,1,"Labiau didinčiau neapmokestinamą minimumą.","Reikia rasti būdus kontroliuoti neapmokestintas lėšas. Korupcijos sutramdymas - vienas iš tokių šaltinių.","Ne visada daugiau darbuotojų tiesiogine išraiška duoda kokybę.","Viskas priklauso nuo skolinimosi sąlygų ir diržo veržimo kaina. Svarbiausia, jog diržas neužveržtų kaklo.","Arba žemdirbiai turi gauti tokias pat dotacijas kaip ir visi ES nariai.","""Laisvoji rinka"" baigia užsmaugt eilinius piliečius.","Net anglai pripažįsta, jog lengvesnis darbuotojų atleidimas sukelia stresą ir nesaugumo jausmą darbuotojams, nuo ko kenčia darbo kokybė.","Dėl klimato kaitos reikia atkreipti dėmesį į stambiąsias korporacijas.","Turi būti adekvačios padarytiems nusikaltimams.","Nebent atskirame lape.","Ir kontroliuoti naminės gamybą.","Nelabai kas ir veržiasi. Su tokiu požiūriu ne tik specialistų pritrūksim.","Kol privatus gyvenimas netampa viešu. Reikalingas pretekstas stebėti, sekti asmenį.","Jei valdžios akys ir ausys nereaguoja, reikalingi veiksmai. Reikia mokytis demokratijos principų, o ne drausti ar riboti jų apraiškas.",,"Laisvės ribojimas nepriimtinas.","Kaip istorijos pėdsakas, skatinantis visuomenę mastyti.","Elektrinė jau statoma ir naivu tikėtis jog statyba sustos.","Šmėklos baimė gimdo naujas šmėklas.","Nors kaimyniški santykiai galėtų būti geresni.","Lietuviai darbšti tauta.","Pirkdami netinkamas technologijas, nieko nelaimėsim.","Jei tai bus pateikta argumentuotais skaičiais.","Tai nepagerins santykių.","Geriau mažiau, bet profesionali armija.","Reikia padaryti viską, kad ir kiti norėtų būti Lietuvos piliečiais.","Užtenka pastebėti kainų pasiutpolkę.","Tai gali daryti žmonės laisva valia, bet ne per prievartą.","Partinė nomenklatūra parodė sistemos netobulumą.","Gyventi irgi rizikinga."
"Vladas Raišys","Lietuvos centro partija",1342,4,4,1,1,1,1,4,1,1,0,4,4,1,1,2,4,4,2,4,3,3,1,3,4,4,4,1,2,4,4,"Turi būti smarkiai didinamos  neapmokestinamos pajamos","Valstybė turi mažinti mokesčius, mažinti valdininkų skaičių ir labai taupiai ir atsakingai naudoti biudžeto pinigus.","Viešojo sektoriaus darbuotojų skaičius turėtų būti sumažintas , o valstybės teikiamos  paslaugos turėtų būti kokybiškesnės. Tai yra valdininkų darbo krūvio klausimas. Šiuo metu valdininkų darbo krūvis  yra labai mažas , o biurokratiniai reikalavimai dideli , nelogiški ir nereikalingi.","Skolinimasis iš tarptautinių institucijų už 3-8 % -yra nusikaltimas. 
 Skolinimasis iš tarptautinių institucijų už 1-2 %
yra galimas.","Reikia nešvaistyti biudžeto taip ,kaip jis švaistomas dabar (nebaigti stadionai , brangūs samčiai  ir t.t","Valstybė turėtų mažiau reguliuoti ekonomiką , bet daugiau kontroliuoti mokesčių surinkimą ir ir išlaidas. Taip pat daugiau reguliuoti  monopolistų veiklą (energetiką  ir kitas veiklas)","Bet už pravaikštas , tinginiavimą , girtavimą ir panašius pažeidimus darbuotojai turi būti atleidžiami lengvai.","Bet šis klausimas daugiau aktualus šalims su stambia pramone( KIOTO PROTOKOLAS)","Bet  bausmių griežtinimas turėtų būti taikomas už sunkius nusikaltimus  , o už nesunkius bausmės turi būti  švelnesnės . Bet ir vienu ir kitu atveju nusikaltimų įrodymai turi būti tvirti.",,"Tai alkoholizmo problemų neišspręs.","Bet emigrantai turi būti kruopščiai tikrinami.","Pokalbių spec. tarnybos turi klausytis tik įtariamų
 ir visuomenei pavojingų asmenų.","Bet su labai didele valdininkų atsakomybe.","Bet be jokiu savo santykių višųjų demonstracijų ir reklamų.","Tai pačios moters reikalas.",,"Bet Lietuva šito klausimo viena niekados neišspręs. 
O ES tikriausiai neskirs  šiam klausimui daug dėmesio ir pastangų . Reikia stengtis ,kad Baltarusija statytų AE laikydamasi pačių aukščiausių saugumo reikalavimų .","Sovietinė simbolika turi būti draudžiama","Eksportas yra svarbiausia ir didžiausią nauda valstybės ekonomikai.","Neaišku kokia būtų Lietuva jeigu ji nebūtų aneksuota .","Bet pinigai turi būti  naudojami naujausiai  karinei technikai pirkti","To Rusija niekados nepadarys ,o erzinti Rusiją būtų neprotinga.",,,"Spręsti Lietuvos svarbiausius klausimus rinkimuose ir referendumuose  turėtų tik Lietuvoje gyvenantys žmonės",,,"Iškiltų grėsmė į valdžią ateiti tik turtingiems verslininkams ir jie taptų dar turtingesni(vertinant lietuvišką mentalitetą) ,o kiti gyventų dar vargingiau.",
"Žydrūnė Balsytė","Lietuvos centro partija",1386,4,4,4,4,1,4,4,4,4,1,1,2,4,4,4,4,4,2,3,1,4,3,4,4,4,1,1,4,1,3,"Vienas iš Antikorupcinės koalicijos ir mano siekių bei rinkiminės programos tikslų - minimalios algos (toliau - MA) Lietuvoje didinimas iki Estijos vidurkio, t.y. 430€, tačiau turėtų būti išlaikomas proporcingumo principas. MA didinimas neturėtų bloginti verslo sąlygų Lietuvoje.",,"Viešojo sektoriaus darbuotojų skaičius turėtų būti sumažintas proporcingai Lietuvoje gyvenančių gyventojų skaičiui.",,,"LR Seimas ir Vyriausybė privalo reguliuoti šalies ekonomiką ir užtikrinti orų pragyvenimo lygį.",,,"Kaip teisininkė galiu drąsiai teigti, kad nuo nusikaltimų atgraso ne bausmės dydis, o jos neišvengiamumas. Absoliuti dauguma kriminologinių tyrimų rodo, kad griežtos laisvės atėmimo bausmės ne tik nepataiso nusikalstamą veiką padariusio asmens, tačiau priešingai – jį sugadina. Asmuo, ilgai būdamas įkalinimo įstaigoje, perima kriminalinę subkultūrą, o turint omenyje Lietuvos įkalinimo įstaigų būklę bei sąlygas jose, yra tarsi užprogramuojamas tolesniam nusikalstamam „gyvenimui“. Bausmių griežtinimas nėra tinkamas sprendimo būdas, siekiant užkardyti nusikalstamumo lygį ir mastą, greičiau, tai viena iš lengviausių, greičiausių ir itin abejotinų priemonių, pasitelkiamų problemai spręsti. Prioritetas turėtų būti skiriamas prevencijai.","Patikslinsiu. Formuluočiau taip, kad ne ""nelietuviško raidyno raidės"", o tik ""lotyniškos abėcėlės raidės"", t.y. („w“, „x“ ir „q“) turėtų būti leidžiamos rašyti Lietuvoje išduodamuose asmens dokumentuose.",,,,,,,,,,,,,,,,,,"Lietuva pasirašė stojimo į ES sutartį, kuria, kaip ir kitos - 27 ES narės, įsipareigojo laikytis sutartyje numatytų įsipareigojimų, kurie tarp visų ES valstybių, sukūrė teisių ir pareigų vienovę.",,
"Albinas Mitrulevičius","Lietuvos socialdemokratų partija",1278,3,3,3,3,2,3,4,1,1,0,2,3,3,2,2,3,4,3,4,1,3,1,2,3,4,2,3,3,2,3,,,,"Taupyti privalome visi.",,,,,,,,,"Turi būti teismo sprendimas.",,,,,,"Turi būti draudžiama.",,,,,,,,,"Turi būti laisvas apsisprendimas.",,
"Algimantas Salamakinas","Lietuvos socialdemokratų partija",321,3,2,3,4,3,3,3,1,3,2,4,4,1,3,2,4,2,4,2,4,2,4,4,2,3,1,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Algirdas Butkevičius","Lietuvos socialdemokratų partija",660,3,3,2,4,2,3,2,2,2,1,3,4,1,4,4,4,4,2,4,1,4,1,2,4,4,1,4,4,3,2,"Minimali alga turi sudaryti pusę vidutinio šalies darbo užmokesčio dydžio, tačiau būtina skatinti ir vidutinės algos didėjimą.","Socialinė parama turi būti didinama tiems, kuriems labiausiai reikia, tačiau ne didinant mokesčius, o efektyviau juos surenkant.","Viešąjį sektorių būtina efektyvinti, tačiau tai nereiškia, kad sumažėtų valstybės teikiamų paslaugų skaičius. Todėl su šiuo teiginiu sutinku tik iš dalies. Priešingai, kai kuriais atvejais galima atsisakyti besidubliuojančių paslaugų.","2008-2012 m. Vyriausybės vykdoma diržų veržimosi politika įrodė, kad nukentėjo įvairios visuomenės grupės, kurioms kompensacijas XVI-oji Vyriausybė moka iki šiol.","Sutinku, kad PVM lengvata turi būti taikoma mėsai. Jei lengvata pasiteisintų, galbūt būtų galima galvoti ir apie kitas prekių grupes.","Valstybėje turi vyrauti laisvosios rinkos dėsnis, tačiau būtinybė rinką kontroliuoti, tarkim dėl sąžiningos konkurencijos, privalo išlikti.","Pasirinkdamas šį atsakymą, pasisakau  už   lankstesnius darbo santykius, kurie suteikia  platesnes galimybes pasirinkti   darbą,  jo trukmę, dirbant  derinti savo asmeninius ir  šeimos interesus.","Privalome atsakingai vykdyti savo įsipareigojimus tarptautinėms institucijoms.","Už sunkaus pobūdžio nusikaltimus bausmės turėtų būti griežtesnės",,"Geriausių rezultatų mažinant alkoholio prieinamumą galime pasiekti šviečiant visuomenę, vykdant prevencines programas.","Nelegalios migracijos iššūkį vertiname labai rimtai, tačiau taip pat turime alternatyvą – legalią migraciją profesionalų, kurie Lietuvoje nori investuoti, kurti darbo vietas, čia gyventi ir mokėti mokesčius.","Privataus gyvenimo apribojimai gali būti taikomi tik vienu atveju – teismo sprendimu.",,,,,"Kartu su užsienio partneriais visomis priemonėmis privalome užtikrinti branduolinį saugumą regione.","Sovietinės simbolikos Lietuvoje būti negali.","Eksporto į Rusiją praradimus mes kompensuojame atvertomis naujomis rinkomis","Galbūt mūsų ekonomika būtų augusi dar greičiau, jei sovietmetis to nebūtų stabdęs. Be to, šis laikotarpis žlugdė Lietuvos kultūrą, pilietiškumą, varžė žmogaus teises.","Mūsų prioritetas – valstybės apginamumas.",,,"Tinkamiausias Lietuvos kariuomenės modelis, kol matome grėsmes, yra mišrus – šauktinių ir profesionalų.",,,,,"Pirmiausia turime užtikrinti skaidrumą. Tam reikia laiko pasiruošti."
"Algirdas Sysas","Lietuvos socialdemokratų partija",89,3,1,2,4,4,4,2,2,3,1,1,3,1,4,1,4,2,3,3,1,2,1,3,4,1,1,4,4,4,1,"Neturi didėti tik MMA",,Pamatuotai,,"PVM reikia mažinti","Laisva rinka nėra panacėja","Su sąlyga, kad didės saugumas",,,,,"JI ir šiandien stabdoma",,,,,"Istorijos nesuklastosime",,,,,,,,,,,,,
"Antanas Sireika","Lietuvos socialdemokratų partija",1232,3,4,2,2,1,3,3,4,1,4,3,2,3,3,4,4,0,4,3,4,2,3,0,3,3,2,4,2,1,2,,"Mokescius reikia diferencijuoti, o ne nustatyti vienodus.",,,,,,,,"Kokios tautybes pilietis, tokia turetu buti ir rasyba",,,,,,"Reikia riboti degradavusiu zmoniu dauginimasi",,,,,,,,,,,,,"Arba pakeisti bent santyki tarp vienmandatese ir pagal sarasus renkamu deputatu",
"Artūras Rudomanskis","Lietuvos socialdemokratų partija",1299,2,0,4,4,1,4,4,1,4,1,0,4,2,4,1,4,2,1,4,1,4,1,1,4,1,1,4,4,4,1,"Pasisakau už subalansuotą atlyginimų didinimą, ne tik minimalaus atlyginimo","Turėtų įvesti progresinius mokesčius, o ne didinti nepriklausomai nuo pajamų",,,,,,,,,,,,"Išskyrus atvejus, kai protestai nukreipti prieš šalies Konstituciją ir žmogaus teises.",,,,,,,"Marshallo planas, kurio Stalinas atsisakė būtų davęs daug daugiau naudos nei sovietmetis","Lietuva prisiėmė tarptautinius įsipareigojimus ir juos turime vykdyti.",,,"Šiuolaikiniuose karuose šauktinių kariuomenė neefektyvi. Šauktinių kariuomenė ne saugumo užtikrinimo, bet visuomenės dresavimo priemonė",,,,,
"Benediktas Juodka","Lietuvos socialdemokratų partija",1222,3,4,2,2,2,2,0,0,3,1,2,3,3,2,2,4,4,1,4,2,3,2,3,4,4,2,4,2,4,3,,,,,"Palaipsniui, iki krizinio lygio",,,,,,,,,,,,,,"Turi būti draudžiama","LR turi solidarizuotis su ES ir JAV",,,,"Užtektų ambasadoriaus",,"Vadovautis LR Konstitucija",,,,
"Birutė Vėsaitė","Lietuvos socialdemokratų partija",75,3,1,3,4,1,4,4,2,4,1,2,3,2,3,2,4,3,2,3,2,4,2,4,3,2,1,3,3,4,3,"Minimali alga turi būti didinama, tačiau reikalinga suderinti ir verslo, ir darbuotojų interesus","Didesnis kapitalo apmokestinimas, surenkant daugiau pajamų į biudžetą, padėtų mažinti socialinę atskirtį. Esu už progresinius mokesčius","Turime siekti efektyvių viešųjų paslaugų. Viešojo sektoriaus darbuotojų mažinimas tai ne visada užtikrina","Diržų veržimosi politika tik pagilino ekonominę krizę Skolintos lėšos padėtų spręsti svarbius infrastruktūros klausimus.","Pagrindiniai maisto produktai sudaro didžiąją dalį skurdžiai gyvenančių žmonių pirkinių krepšelio. Mažesnė produktų kaina palengvintų finansinę naštą šiems žmonėms","Nereguliuojama laisvoji rinka tik didina atskirtį ir iškreipia ekonominę sistemą bei yra ekonominių krizių priežastis","Darbuotojas turi jaustis saugiai ir oriai dėl savo darbo vietos. Nesiskaitymas su samdomais darbuotojais yra viena iš emigracijos priežasčių","Visos valstybės pagal savo galimybes turi prisidėti prie globalių problemų sprendimo","Valstybė, visuomenė ir šeima turbūt ne viską padarė, jog šie žmonės nebūtų atsidūrę nusikaltėlių suole. Nusikaltusiems reikėtų suteikti antrą šansą. Kalėjimuose turėtų būti daugiau galimybių dirbti bei lavintis.","Kitų tautybių Lietuvos piliečiai turi turėti teisę nelietuviško raidyno raides įrašyti į asmens dokumentus","Didesni apribojimai alkoholio prieinamumui yra reikalingi, tačiau nebūtina jo prekybą apriboti tik specializuotomis parduotuvėmis","Lietuvai vis labiau trūksta darbo jėgos, todėl negalime apriboti kvalifikuotų specialistų atvykimo į šalį","Tai turi būti atliekama tik pagrįstai, turint teismo leidimą.","Valdžia neturi turėti teisės riboti žmonių susirinkimo laisvės","Valstybė negali kištis į privatų asmenų gyvenimą ir turėtų sudaryti teisines sąlygas partnerystei","Moters apsisprendimo laisvė dėl aborto neturi būti varžoma","Istoriniai reliktai turėtų rasti sau tinkamesnes vietas, pvz. Grūto parke","Astravo atominė elektrinė kelia pavojų Lietuvos saugumui. Panašu, kad Astravo AE statybų nesustabdysime, tai turėjo padaryti A. Kubiliaus Vyriausybė. Tačiau turime siekti, jog ją eksplotuojant būtų laikomasi visų tarptautinių konvencijų. Šito sieksime drauge su kitomis Europos valstybėmis. Dėl šios priežasties mano iniciatyva Europos Tarybos Parlamentinėje Asamblėjoje buvo registruota rezoliucija dėl Atravo AE.","Tačiau nereikia perlenkti lazdos","Tai priklausys nuo Rusijos elgesio, kaip ji vykdys Minsko susitarimus Ukrainos ir Krymo atžvilgiu","Sovietiniu laikotarpiu mūsų šalis patyrė didžiulies netektis (tremtis, persekiojimus, visišką laisvės suvaržymą). Ekonomiškai mes būtume pasiekę daug geresnių rezultatų, būdami nepriklausoma valstybe.","Mes turime įvykdyti savo įsipareigojimus NATO dėl karinių išlaidų dydžio","Toks žingsnis yra labiau populistinis, kadangi pirmiausia reikėtų, jog Rusija apskritai pripažintų Lietuvos okupaciją.","Nebent pasikeistų Rusijos agresyvus elgesys","Pasisakau už profesionalią, mobilią ir gerai pasirengusią kariuomenę","Dviguba pilietybė turi būti įteisinta, esu pateikusi įstatymo pataisą dėl dvigubos pilietybės įteisinimo.","Esame perspektyvesni dėl investicijų pritraukimo, dėl sutaupymo konvertuojant valiutą, o kainų didėjimas ir nedidelė infliacija yra stebima visoje ES.","Europos Sąjungą turi kylančias grėsmes spręsti solidariai, tame tarpe ir pabėgėlių krizę.","Ilgainiui reikėtų pereiti prie proporcinės Seimo rinkimų sistemos, siekiant padidinti partijų atsakomybę. Rinkėjai  gali pasirinkti  asmenis reitinguodami.","Neskaidrūs rinkimai griauna pačią demokratiją, todėl vien dėl internetinio balsavimi negalime leisti kilti tokioms rizikoms"
